instance,instance_id,n_jobs,machines,budget,scheme,ceiling_makespan,ceiling_nodes,ceiling_runtime,maxlpt_makespan,maxlpt_nodes,maxlpt_runtime,enum_makespan,enum_nodes,enum_runtime,enum_timed_out,match_ceiling_maxlpt,match_enum_ceiling,match_enum_maxlpt,ratio_nodes_maxlpt_to_ceiling,ratio_runtime_maxlpt_to_ceiling,speedup_enum_over_ceiling,speedup_enum_over_maxlpt
Complex_001_J6_M3_B12,1,6,3,12,uniform_ratios,16.0,423,0.13852167129516602,16.0,319,0.10375547409057617,16.0,506,0.5255329608917236,False,True,True,True,0.7541371158392435,0.7490197968337459,3.7938681794554925,5.06511068932079
Complex_002_J12_M4_B26,2,12,4,26,high_variance,98.0,1060,0.04999899864196777,98.0,271,0.019574403762817383,98.0,0,3600.0,True,True,True,True,0.25566037735849056,0.39149591580794524,72001.44198444526,183913.64782402164
Complex_003_J10_M3_B40,3,10,3,40,increasing,38.0,27430,6.598547458648682,38.0,1641,0.25720930099487305,38.0,20297,398.3035740852356,False,True,True,True,0.05982500911410864,0.03897968493925889,60.362311036072214,1548.5582074389097
Complex_004_J12_M5_B19,4,12,5,19,random_realistic,34.0,308,0.01704120635986328,34.0,4,0.0034754276275634766,34.0,569,4.589089870452881,False,True,True,True,0.012987012987012988,0.2039425821254687,269.2937209692764,1320.4389106126089
Complex_005_J12_M4_B21,5,12,4,21,extreme,132.0,294,0.015001773834228516,132.0,92,0.007999897003173828,132.0,10285,518.292112827301,False,True,True,True,0.3129251700680272,0.5332634054861575,34548.721941451324,64787.3482148179
Complex_006_J10_M8_B25,6,10,8,25,strong_correlation,18.0,803,0.11551594734191895,18.0,362,0.04753923416137695,18.0,263,1.1207256317138672,False,True,True,True,0.45080946450809467,0.4115382789586984,9.701912657969201,23.57475149703602
Complex_007_J12_M8_B31,7,12,8,31,subset_sum,12.0,3474,0.8055460453033447,12.0,909,0.193206787109375,12.0,1107,80.15023159980774,False,True,True,True,0.2616580310880829,0.23984573971388445,99.4980138840177,414.84169784591694
Complex_008_J6_M4_B26,8,6,4,26,uniform_ratios,35.0,1937,1.4425110816955566,35.0,373,0.4596564769744873,35.0,1581,4.498093366622925,False,True,True,True,0.19256582343830667,0.31865022238456414,3.1182383440242103,9.785771749002432
Complex_009_J7_M8_B22,9,7,8,22,high_variance,39.0,1003,1.8057687282562256,39.0,287,0.558199405670166,39.0,234,0.7786166667938232,False,True,True,True,0.28614157527417744,0.3091200976822773,0.43118293866220014,1.3948719021995868
Complex_010_J12_M8_B27,10,12,8,27,increasing,25.0,3992,0.4000716209411621,25.0,3971,0.39191603660583496,25.0,874,88.11131882667542,False,True,True,True,0.9947394789579158,0.9796146891995456,220.2388627801066,224.8219276500093
Complex_011_J6_M3_B32,11,6,3,32,random_realistic,34.0,190,0.05286097526550293,34.0,120,0.036716461181640625,34.0,119,0.15803194046020508,False,True,True,True,0.631578947368421,0.694585391155312,2.9895767088379226,4.304116883116883
Complex_012_J12_M4_B32,12,12,4,32,extreme,224.0,21155,0.7799580097198486,224.0,4,0.008391618728637695,224.0,330467,3600.0,True,True,True,True,0.00018908059560387614,0.01075906474971885,4615.633091957188,428999.47154587036
Complex_013_J10_M4_B47,13,10,4,47,strong_correlation,26.0,7775,2.459104061126709,26.0,7245,2.4288170337677,26.0,2487,62.361517667770386,False,True,True,True,0.9318327974276527,0.9876837146350237,25.359446415292272,25.67567535996408
Complex_014_J6_M8_B21,14,6,8,21,subset_sum,10.0,147,0.02624058723449707,10.0,66,0.01199650764465332,10.0,55,0.05951285362243652,False,True,True,True,0.4489795918367347,0.45717374910277025,2.267969580505356,4.960848222270803
Complex_015_J12_M8_B27,15,12,8,27,uniform_ratios,16.0,100002,97.45864653587341,16.0,100002,96.59513330459595,16.0,160928,3600.0,True,True,True,True,1.0,0.9911396960457519,36.938744051559155,37.26895835060371
Complex_016_J7_M5_B15,16,7,5,15,high_variance,33.0,703,0.5145623683929443,33.0,424,0.33052539825439453,33.0,128,0.26651906967163086,False,True,True,True,0.6031294452347084,0.6423427334701429,0.5179528975350646,0.806349742195908
Complex_017_J12_M4_B32,17,12,4,32,increasing,25.0,12807,1.9489336013793945,25.0,12795,1.941518783569336,25.0,2070,444.749623298645,False,True,True,True,0.9990630124150855,0.9961954487290842,228.2015267138219,229.07304686540624
Complex_018_J12_M4_B32,18,12,4,32,random_realistic,32.0,7853,1.497983694076538,32.0,1874,0.3220484256744385,32.0,3643,1170.4506952762604,False,True,True,True,0.2386349165923851,0.2149879380849814,781.3507582923378,3634.393469941937
Complex_019_J6_M3_B27,19,6,3,27,extreme,140.0,10,0.006000041961669922,140.0,10,0.0037581920623779297,140.0,333,0.629065990447998,False,True,True,True,1.0,0.6263609632043233,104.84359850592068,167.3852693015289
Complex_020_J7_M4_B25,20,7,4,25,strong_correlation,17.0,382,0.11972546577453613,17.0,282,0.10396361351013184,17.0,97,0.14051294326782227,False,True,True,True,0.7382198952879581,0.8683500443081458,1.173626198560234,1.351558862987467
Complex_021_J10_M5_B35,21,10,5,35,subset_sum,10.0,3962,1.1202502250671387,10.0,3962,1.109391212463379,10.0,966,16.922046184539795,False,True,True,True,1.0,0.9903066186814566,15.105594987517744,15.25345251921075
Complex_022_J12_M5_B23,22,12,5,23,uniform_ratios,20.0,100002,52.836275577545166,20.0,100001,54.736088275909424,20.0,91975,3600.0,True,True,True,True,0.999990000199996,1.0359565975761482,68.13500688019653,65.77013654781831
