parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
budget,1.2,0,12000,8,4,1.2,1.6953518390655518,4166,2871,0.6891502640422468,80.0,success,0.19699978828430176,333,186,0.5585585585585585,80.0,success,True,92.00672107537206,8.605856147514695
budget,1.2,1,12001,8,4,1.2,0.3766753673553467,3668,2804,0.7644492911668485,72.0,success,0.16489243507385254,437,212,0.4851258581235698,72.0,success,True,88.08615049073065,2.2843702149625007
budget,1.2,2,12002,8,4,1.2,0.14799952507019043,3041,2559,0.8414995067412036,90.0,success,0.015999555587768555,111,88,0.7927927927927928,90.0,success,True,96.34988490628082,9.250227249020222
budget,1.2,3,12003,8,4,1.2,0.19700407981872559,4647,3838,0.825909188723908,76.0,success,0.011130809783935547,14,14,1.0,76.0,success,True,99.6987303636755,17.698988990275456
budget,1.2,4,12004,8,4,1.2,0.10051560401916504,850,694,0.8164705882352942,108.0,success,0.012645244598388672,8,8,1.0,108.0,success,True,99.05882352941177,7.948885704589163
budget,1.4,0,14000,8,4,1.4,0.02799844741821289,494,479,0.9696356275303644,150.0,success,0.008997917175292969,9,9,1.0,150.0,success,True,98.17813765182186,3.1116587175410704
budget,1.4,1,14001,8,4,1.4,0.14099812507629395,2370,2189,0.9236286919831224,120.0,success,0.058916568756103516,988,929,0.9402834008097166,120.0,success,True,58.31223628691984,2.39318290343728
budget,1.4,2,14002,8,4,1.4,0.024809598922729492,185,150,0.8108108108108109,126.0,success,0.009958744049072266,12,12,1.0,126.0,success,True,93.51351351351352,2.491237730428537
budget,1.4,3,14003,8,4,1.4,0.06784176826477051,1500,1414,0.9426666666666667,126.0,success,0.014003515243530273,101,96,0.9504950495049505,126.0,success,True,93.26666666666667,4.844624159359837
budget,1.4,4,14004,8,4,1.4,0.09199929237365723,390,320,0.8205128205128205,162.0,success,0.053998470306396484,114,81,0.7105263157894737,162.0,success,True,70.76923076923076,1.703738862446244
budget,1.6,0,16000,8,4,1.6,0.11473560333251953,1538,1434,0.9323797139141743,150.0,success,0.035196542739868164,406,385,0.9482758620689655,150.0,success,True,73.60208062418725,3.2598543607112616
budget,1.6,1,16001,8,4,1.6,0.3105132579803467,236,128,0.5423728813559322,209.0,success,0.29180026054382324,161,80,0.4968944099378882,209.0,success,True,31.779661016949156,1.064129474736069
budget,1.6,2,16002,8,4,1.6,0.6716480255126953,11017,9076,0.8238177362258328,75.0,success,0.22650408744812012,1697,1076,0.6340601060695344,75.0,success,True,84.59653263138786,2.96527993414924
budget,1.6,3,16003,8,4,1.6,0.09300065040588379,1694,1321,0.7798110979929161,100.0,success,0.020999908447265625,50,41,0.82,100.0,success,True,97.04840613931523,4.428621707538602
budget,1.6,4,16004,8,4,1.6,5.352227687835693,3234,1714,0.5299938157081014,136.0,success,2.1056711673736572,846,220,0.26004728132387706,136.0,success,True,73.8404452690167,2.541815536426503
budget,1.8,0,18000,8,4,1.8,3.790426731109619,46670,38762,0.8305549603599743,80.0,success,0.739835262298584,5323,4436,0.8333646439977457,80.0,success,True,88.59438611527747,5.123338835368829
budget,1.8,1,18001,8,4,1.8,0.07163619995117188,352,280,0.7954545454545454,190.0,success,0.013003826141357422,62,60,0.967741935483871,190.0,success,True,82.38636363636364,5.508855560852187
budget,1.8,2,18002,8,4,1.8,4.636259078979492,21407,19208,0.8972765917690475,84.0,success,0.6435039043426514,2093,1818,0.8686096512183469,84.0,success,True,90.2228243098052,7.204710099957356
budget,1.8,3,18003,8,4,1.8,0.09750771522521973,2007,1791,0.8923766816143498,221.0,success,0.05500197410583496,954,862,0.9035639412997903,221.0,success,True,52.46636771300448,1.7728039185938143
budget,1.8,4,18004,8,4,1.8,0.3260202407836914,7427,6955,0.9364480947892824,100.0,success,0.0800008773803711,1358,1285,0.9462444771723122,100.0,success,True,81.71536286522148,4.075208315948836
budget,2.0,0,20000,8,4,2.0,3.3922197818756104,37655,32040,0.8508830168636303,102.0,success,0.553640604019165,2020,1647,0.8153465346534653,102.0,success,True,94.6355065728323,6.127115239109493
budget,2.0,1,20001,8,4,2.0,12.31355595588684,104614,88062,0.8417802588563672,105.0,success,3.3000404834747314,7609,6050,0.7951110527007491,105.0,success,True,92.726594910815,3.7313348177236465
budget,2.0,2,20002,8,4,2.0,0.013265132904052734,92,88,0.9565217391304348,304.0,success,0.014507293701171875,14,14,1.0,304.0,success,True,84.78260869565217,0.914376807783329
budget,2.0,3,20003,8,4,2.0,0.02299952507019043,340,323,0.95,140.0,success,0.013997793197631836,16,16,1.0,140.0,success,True,95.29411764705881,1.6430822162797432
budget,2.0,4,20004,8,4,2.0,1.8077702522277832,6716,6034,0.8984514592019059,112.0,success,1.0559942722320557,1837,1553,0.8454001088731627,112.0,success,True,72.64740917212626,1.7119129333975442
budget,2.2,0,22000,8,4,2.2,0.8915581703186035,19724,17404,0.8823767998377611,153.0,success,0.10599255561828613,2290,2068,0.903056768558952,153.0,success,True,88.38977894950314,8.411516876047372
budget,2.2,1,22001,8,4,2.2,0.10400652885437012,2319,2216,0.9555843035791289,156.0,success,0.016629695892333984,50,50,1.0,156.0,success,True,97.84389823199655,6.254265232974911
budget,2.2,2,22002,8,4,2.2,0.017006397247314453,177,172,0.9717514124293786,420.0,success,0.01900005340576172,12,12,1.0,420.0,success,True,93.22033898305084,0.8950710234402449
budget,2.2,3,22003,8,4,2.2,0.017000436782836914,194,192,0.9896907216494846,228.0,success,0.016652345657348633,50,50,1.0,228.0,success,True,74.22680412371135,1.0209034290214045
budget,2.2,4,22004,8,4,2.2,5.1044838428497314,2095,1260,0.6014319809069213,168.0,success,1.4086649417877197,445,218,0.4898876404494382,168.0,success,True,78.75894988066825,3.6236323425297234
budget,2.4,0,24000,8,4,2.4,20.20131492614746,25020,21403,0.855435651478817,200.0,success,2.999208450317383,2074,1732,0.8351012536162006,200.0,success,True,91.71063149480416,6.735548815891645
