parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
machines,2.0,0,20000,8,2,2.0,0.03896141052246094,494,464,0.9392712550607287,204.0,success,0.016006946563720703,70,67,0.9571428571428572,204.0,success,True,85.82995951417004,2.434031398016027
machines,2.0,1,20001,8,2,2.0,0.39905214309692383,7781,6907,0.8876751060275029,200.0,success,0.08194112777709961,513,430,0.8382066276803118,200.0,success,True,93.40701709291865,4.869985975570724
machines,2.0,2,20002,8,2,2.0,0.005999326705932617,14,14,1.0,589.0,success,0.012001276016235352,14,14,1.0,589.0,success,True,0.0,0.4998907364364185
machines,2.0,3,20003,8,2,2.0,0.011450767517089844,113,108,0.9557522123893806,270.0,success,0.009676694869995117,16,16,1.0,270.0,success,True,85.84070796460178,1.1833345652548846
machines,2.0,4,20004,8,2,2.0,0.022999286651611328,312,291,0.9326923076923077,224.0,success,0.026003599166870117,232,215,0.9267241379310345,224.0,success,True,25.64102564102564,0.8844655120247188
machines,3,0,30000,8,3,2.0,0.030855894088745117,223,200,0.8968609865470852,300.0,success,0.013685941696166992,16,16,1.0,300.0,success,True,92.82511210762333,2.2545685765552324
machines,3,1,30001,8,3,2.0,0.029118776321411133,416,378,0.9086538461538461,280.0,success,0.018001079559326172,21,21,1.0,280.0,success,True,94.95192307692307,1.6176127784694445
machines,3,2,30002,8,3,2.0,0.012999534606933594,97,94,0.9690721649484536,276.0,success,0.016999006271362305,17,17,1.0,276.0,success,True,82.4742268041237,0.7647232078991291
machines,3,3,30003,8,3,2.0,0.010040760040283203,9,9,1.0,440.0,success,0.0191190242767334,9,9,1.0,440.0,success,True,0.0,0.525171153870135
machines,3,4,30004,8,3,2.0,0.03700375556945801,656,637,0.9710365853658537,345.0,success,0.01699995994567871,9,9,1.0,345.0,success,True,98.6280487804878,2.176696632680252
machines,4,0,40000,8,4,2.0,0.08950614929199219,1837,1701,0.9259662493195427,114.0,success,0.01800370216369629,13,13,1.0,114.0,success,True,99.29232444202503,4.971541324010436
machines,4,1,40001,8,4,2.0,0.010624885559082031,21,21,1.0,252.0,success,0.02599811553955078,21,21,1.0,252.0,success,True,0.0,0.40867906533142584
machines,4,2,40002,8,4,2.0,0.30411458015441895,4604,3784,0.8218940052128584,135.0,success,0.14769577980041504,572,388,0.6783216783216783,135.0,success,True,87.57602085143354,2.0590607298690355
machines,4,3,40003,8,4,2.0,0.06599807739257812,1251,1186,0.9480415667466027,171.0,success,0.013998270034790039,10,10,1.0,171.0,success,True,99.20063948840927,4.714730979510501
machines,4,4,40004,8,4,2.0,0.01399993896484375,97,89,0.9175257731958762,342.0,success,0.01799917221069336,75,75,1.0,342.0,success,True,22.680412371134018,0.7778101570985774
machines,5,0,50000,8,5,2.0,0.9482498168945312,6823,6336,0.9286237725340759,132.0,success,0.4946632385253906,1212,1111,0.9166666666666666,132.0,success,True,82.2365528359959,1.916960354121521
machines,5,1,50001,8,5,2.0,0.11099982261657715,1389,1291,0.9294456443484521,143.0,success,0.05500030517578125,299,269,0.8996655518394648,143.0,success,True,78.47372210223182,2.018167394923013
machines,5,2,50002,8,5,2.0,0.10849642753601074,2208,1918,0.8686594202898551,126.0,success,0.031876564025878906,136,102,0.75,126.0,success,True,93.84057971014492,3.403642483171279
machines,5,3,50003,8,5,2.0,10.39031457901001,23882,19072,0.798593082656394,120.0,success,7.478947162628174,3956,2105,0.532103134479272,120.0,success,True,83.43522318063815,1.3892750347174205
machines,5,4,50004,8,5,2.0,20.308642864227295,102233,85038,0.8318057769995989,112.0,success,5.401499032974243,7233,5609,0.7754735241255357,112.0,success,True,92.9249850830945,3.759816069622563
machines,6,0,60000,8,6,2.0,6.305321216583252,96564,84488,0.874943042955967,80.0,success,1.016535997390747,11306,9915,0.8769679816026889,80.0,success,True,88.29170291205833,6.202752517144304
machines,6,1,60001,8,6,2.0,56.91594195365906,9301,7352,0.7904526395011289,152.0,success,3.0432538986206055,175,112,0.64,152.0,success,True,98.11848188366842,18.70233107380786
machines,6,2,60002,8,6,2.0,0.026458024978637695,265,230,0.8679245283018868,240.0,success,0.023946046829223633,97,89,0.9175257731958762,240.0,success,True,63.39622641509435,1.1049015800949848
machines,6,3,60003,8,6,2.0,0.09731841087341309,1548,1494,0.9651162790697675,168.0,success,0.028839588165283203,162,157,0.9691358024691358,168.0,success,True,89.53488372093024,3.3744729749838793
