parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,match_makespan,node_reduction_pct,speedup
jobs,4.0,0,40000,4,4,2.0,0.012476205825805664,0,0,0.0,78.0,success,0.007762908935546875,0,0,0.0,78.0,success,True,,
jobs,4.0,1,40001,4,4,2.0,0.007998228073120117,0,0,0.0,72.0,success,0.0067806243896484375,0,0,0.0,72.0,success,True,,
jobs,4.0,2,40002,4,4,2.0,0.00700068473815918,0,0,0.0,inf,error: list index out of range,0.006000518798828125,0,0,0.0,inf,error: list index out of range,True,,
jobs,4.0,3,40003,4,4,2.0,0.0070040225982666016,0,0,0.0,36.0,success,0.006001710891723633,0,0,0.0,36.0,success,True,,
jobs,4.0,4,40004,4,4,2.0,0.007000923156738281,0,0,0.0,68.0,success,0.0066416263580322266,0,0,0.0,68.0,success,True,,
jobs,6,0,60000,6,4,2.0,0.009000539779663086,0,0,0.0,160.0,success,0.010001182556152344,0,0,0.0,160.0,success,True,,
jobs,6,1,60001,6,4,2.0,0.006999969482421875,0,0,0.0,95.0,success,0.008445262908935547,0,0,0.0,95.0,success,True,,
jobs,6,2,60002,6,4,2.0,0.009000539779663086,0,0,0.0,132.0,success,0.01100015640258789,0,0,0.0,132.0,success,True,,
jobs,6,3,60003,6,4,2.0,0.007001161575317383,0,0,0.0,95.0,success,0.008001565933227539,0,0,0.0,95.0,success,True,,
jobs,6,4,60004,6,4,2.0,0.0065953731536865234,0,0,0.0,inf,error: list index out of range,0.007902145385742188,0,0,0.0,inf,error: list index out of range,True,,
jobs,8,0,80000,8,4,2.0,0.006999492645263672,0,0,0.0,inf,error: list index out of range,0.011829376220703125,0,0,0.0,inf,error: list index out of range,True,,
jobs,8,1,80001,8,4,2.0,0.014000177383422852,0,0,0.0,156.0,success,0.016999483108520508,0,0,0.0,156.0,success,True,,
jobs,8,2,80002,8,4,2.0,0.008997440338134766,0,0,0.0,160.0,success,0.01300048828125,0,0,0.0,160.0,success,True,,
jobs,8,3,80003,8,4,2.0,0.008261919021606445,0,0,0.0,144.0,success,0.010505437850952148,0,0,0.0,144.0,success,True,,
jobs,8,4,80004,8,4,2.0,0.007143735885620117,0,0,0.0,133.0,success,0.01200103759765625,0,0,0.0,133.0,success,True,,
jobs,10,0,100000,10,4,2.0,0.010037660598754883,0,0,0.0,220.0,success,0.019316911697387695,0,0,0.0,220.0,success,True,,
jobs,10,1,100001,10,4,2.0,0.013216733932495117,0,0,0.0,396.0,success,0.02699732780456543,0,0,0.0,396.0,success,True,,
jobs,10,2,100002,10,4,2.0,0.014000177383422852,0,0,0.0,336.0,success,0.028000831604003906,0,0,0.0,336.0,success,True,,
jobs,10,3,100003,10,4,2.0,0.010999917984008789,0,0,0.0,240.0,success,0.024000883102416992,0,0,0.0,240.0,success,True,,
jobs,10,4,100004,10,4,2.0,0.010978937149047852,0,0,0.0,180.0,success,0.02304983139038086,0,0,0.0,180.0,success,True,,
