parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
budget,2.0,0,20000,8,4,2.0,1.7851917743682861,27343,24579,0.8989137987784808,102.0,success,False,13,0.27904319763183594,2804,2447,0.8726818830242511,102.0,success,False,13,True,89.74509015104415,6.397546292182448
budget,2.0,1,20001,8,4,2.0,0.0110015869140625,0,0,0.0,105.0,success,False,0,0.017003297805786133,0,0,0.0,105.0,success,False,0,True,,
budget,2.0,2,20002,8,4,2.0,0.03400397300720215,0,0,0.0,304.0,success,False,0,0.0200040340423584,0,0,0.0,304.0,success,False,0,True,,
budget,2.0,3,20003,8,4,2.0,0.016002655029296875,0,0,0.0,140.0,success,False,0,0.022005319595336914,0,0,0.0,140.0,success,False,0,True,,
budget,2.0,4,20004,8,4,2.0,0.01600193977355957,0,0,0.0,112.0,success,False,0,0.026005268096923828,0,0,0.0,112.0,success,False,0,True,,
budget,2.5,0,25000,8,4,2.5,0.015003681182861328,0,0,0.0,180.0,success,False,0,0.035004615783691406,0,0,0.0,180.0,success,False,0,True,,
budget,2.5,1,25001,8,4,2.5,0.009999990463256836,0,0,0.0,120.0,success,False,0,0.016001224517822266,0,0,0.0,120.0,success,False,0,True,,
budget,2.5,2,25002,8,4,2.5,0.014002323150634766,0,0,0.0,192.0,success,False,0,0.030004501342773438,0,0,0.0,192.0,success,False,0,True,,
budget,2.5,3,25003,8,4,2.5,0.013004541397094727,0,0,0.0,171.0,success,False,0,0.02600550651550293,0,0,0.0,171.0,success,False,0,True,,
budget,2.5,4,25004,8,4,2.5,0.01900315284729004,0,0,0.0,220.0,success,False,0,0.033005714416503906,0,0,0.0,220.0,success,False,0,True,,
budget,3.0,0,30000,8,4,3.0,0.018003463745117188,0,0,0.0,340.0,success,False,0,0.04201149940490723,0,0,0.0,340.0,success,False,0,True,,
budget,3.0,1,30001,8,4,3.0,0.01651167869567871,0,0,0.0,320.0,success,False,0,0.041007280349731445,0,0,0.0,320.0,success,False,0,True,,
budget,3.0,2,30002,8,4,3.0,0.022002696990966797,0,0,0.0,300.0,success,False,0,0.04600811004638672,0,0,0.0,300.0,success,False,0,True,,
budget,3.0,3,30003,8,4,3.0,0.0220034122467041,0,0,0.0,480.0,success,False,0,0.038005828857421875,0,0,0.0,480.0,success,False,0,True,,
budget,3.0,4,30004,8,4,3.0,0.018999099731445312,0,0,0.0,375.0,success,False,0,0.038007259368896484,0,0,0.0,375.0,success,False,0,True,,
budget,3.5,0,35000,8,4,3.5,37.68411827087402,593701,545000,0.9179704935649426,100.0,success,False,91,4.790747404098511,56903,47622,0.836897878846458,100.0,success,False,91,True,90.41554587241725,7.866020704542898
budget,3.5,1,35001,8,4,3.5,0.02500295639038086,0,0,0.0,234.0,success,False,0,0.04100680351257324,0,0,0.0,234.0,success,False,0,True,,
budget,3.5,2,35002,8,4,3.5,0.0110015869140625,0,0,0.0,160.0,success,False,0,0.029005765914916992,0,0,0.0,160.0,success,False,0,True,,
budget,3.5,3,35003,8,4,3.5,0.01100015640258789,0,0,0.0,153.0,success,False,0,0.02900528907775879,0,0,0.0,153.0,success,False,0,True,,
budget,3.5,4,35004,8,4,3.5,0.01300191879272461,0,0,0.0,180.0,success,False,0,0.042008161544799805,0,0,0.0,180.0,success,False,0,True,,
budget,4.0,0,40000,8,4,4.0,0.01500391960144043,0,0,0.0,209.0,success,False,0,0.050006866455078125,0,0,0.0,209.0,success,False,0,True,,
budget,4.0,1,40001,8,4,4.0,0.021001100540161133,0,0,0.0,492.0,success,False,0,0.06000876426696777,0,0,0.0,492.0,success,False,0,True,,
budget,4.0,2,40002,8,4,4.0,0.019001483917236328,0,0,0.0,270.0,success,False,0,0.03500676155090332,0,0,0.0,270.0,success,False,0,True,,
budget,4.0,3,40003,8,4,4.0,0.018001794815063477,0,0,0.0,342.0,success,False,0,0.03600740432739258,0,0,0.0,342.0,success,False,0,True,,
budget,4.0,4,40004,8,4,4.0,0.020003557205200195,0,0,0.0,666.0,success,False,0,0.05952143669128418,0,0,0.0,666.0,success,False,0,True,,
budget,4.5,0,45000,8,4,4.5,0.015004158020019531,0,0,0.0,405.0,success,False,0,0.047008514404296875,0,0,0.0,405.0,success,False,0,True,,
budget,4.5,1,45001,8,4,4.5,0.022003650665283203,0,0,0.0,384.0,success,False,0,0.05900835990905762,0,0,0.0,384.0,success,False,0,True,,
budget,4.5,2,45002,8,4,4.5,0.69569993019104,4787,4611,0.9632337580948402,392.0,success,False,12,0.4786050319671631,1234,1136,0.9205834683954619,392.0,success,False,11,True,74.22185084604136,1.4535992806669273
budget,4.5,3,45003,8,4,4.5,0.015001058578491211,0,0,0.0,209.0,success,False,0,0.04300951957702637,0,0,0.0,209.0,success,False,0,True,,
budget,4.5,4,45004,8,4,4.5,0.014000892639160156,0,0,0.0,391.0,success,False,0,0.03900480270385742,0,0,0.0,391.0,success,False,0,True,,
budget,5.0,0,50000,8,4,5.0,0.022003889083862305,0,0,0.0,396.0,success,False,0,0.06300997734069824,0,0,0.0,396.0,success,False,0,True,,
budget,5.0,1,50001,8,4,5.0,0.02300119400024414,0,0,0.0,442.0,success,False,0,0.0640103816986084,0,0,0.0,442.0,success,False,0,True,,
budget,5.0,2,50002,8,4,5.0,0.7009658813476562,10690,10430,0.9756782039289055,360.0,success,False,4,0.382063627243042,3596,3499,0.9730255839822024,360.0,success,False,4,True,66.36108512628624,1.834683626928326
budget,5.0,3,50003,8,4,5.0,0.01900339126586914,0,0,0.0,352.0,success,False,0,0.07001113891601562,0,0,0.0,352.0,success,False,0,True,,
budget,5.0,4,50004,8,4,5.0,0.025002479553222656,0,0,0.0,352.0,success,False,0,0.0985257625579834,0,0,0.0,352.0,success,False,0,True,,
budget,5.5,0,55000,8,4,5.5,0.03500533103942871,0,0,0.0,736.0,success,False,0,0.11101698875427246,0,0,0.0,736.0,success,False,0,True,,
budget,5.5,1,55001,8,4,5.5,0.03400897979736328,0,0,0.0,600.0,success,False,0,0.13301992416381836,0,0,0.0,600.0,success,False,0,True,,
budget,5.5,2,55002,8,4,5.5,0.025001049041748047,0,0,0.0,665.0,success,False,0,0.08401322364807129,0,0,0.0,665.0,success,False,0,True,,
budget,5.5,3,55003,8,4,5.5,0.029004335403442383,0,0,0.0,684.0,success,False,0,0.08101344108581543,0,0,0.0,684.0,success,False,0,True,,
budget,5.5,4,55004,8,4,5.5,0.0310056209564209,0,0,0.0,690.0,success,False,0,0.07701420783996582,0,0,0.0,690.0,success,False,0,True,,
budget,6.0,0,60000,8,4,6.0,0.026005268096923828,0,0,0.0,360.0,success,False,0,0.07101321220397949,0,0,0.0,360.0,success,False,0,True,,
budget,6.0,1,60001,8,4,6.0,0.028005123138427734,0,0,0.0,665.0,success,False,0,0.061524152755737305,0,0,0.0,665.0,success,False,0,True,,
budget,6.0,2,60002,8,4,6.0,0.033006906509399414,0,0,0.0,1040.0,success,False,0,0.1210176944732666,0,0,0.0,1040.0,success,False,0,True,,
budget,6.0,3,60003,8,4,6.0,0.03300642967224121,0,0,0.0,720.0,success,False,0,0.13602066040039062,0,0,0.0,720.0,success,False,0,True,,
budget,6.0,4,60004,8,4,6.0,0.05601143836975098,0,0,0.0,268.0,success,False,0,0.1370227336883545,0,0,0.0,268.0,success,False,0,True,,
budget,6.5,0,65000,8,4,6.5,0.027004003524780273,0,0,0.0,520.0,success,False,0,0.09301495552062988,0,0,0.0,520.0,success,False,0,True,,
