parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
machines,2.0,0,20000,8,2,2.0,0.010000467300415039,0,0,0.0,204.0,success,False,0,0.012005329132080078,0,0,0.0,204.0,success,False,0,True,,
machines,2.0,1,20001,8,2,2.0,0.007002115249633789,0,0,0.0,200.0,success,False,0,0.013000726699829102,0,0,0.0,200.0,success,False,0,True,,
machines,2.0,2,20002,8,2,2.0,0.010000228881835938,0,0,0.0,589.0,success,False,0,0.015003442764282227,0,0,0.0,589.0,success,False,0,True,,
machines,2.0,3,20003,8,2,2.0,0.008000612258911133,0,0,0.0,270.0,success,False,0,0.015001773834228516,0,0,0.0,270.0,success,False,0,True,,
machines,2.0,4,20004,8,2,2.0,0.010001420974731445,0,0,0.0,224.0,success,False,0,0.017002582550048828,0,0,0.0,224.0,success,False,0,True,,
machines,3,0,30000,8,3,2.0,0.012003183364868164,0,0,0.0,300.0,success,False,0,0.019001245498657227,0,0,0.0,300.0,success,False,0,True,,
machines,3,1,30001,8,3,2.0,0.009999752044677734,0,0,0.0,280.0,success,False,0,0.016002416610717773,0,0,0.0,280.0,success,False,0,True,,
machines,3,2,30002,8,3,2.0,0.010001897811889648,0,0,0.0,276.0,success,False,0,0.017007827758789062,0,0,0.0,276.0,success,False,0,True,,
machines,3,3,30003,8,3,2.0,0.010510683059692383,0,0,0.0,440.0,success,False,0,0.01800394058227539,0,0,0.0,440.0,success,False,0,True,,
machines,3,4,30004,8,3,2.0,0.011003255844116211,0,0,0.0,345.0,success,False,0,0.02000594139099121,0,0,0.0,345.0,success,False,0,True,,
machines,4,0,40000,8,4,2.0,0.010000467300415039,0,0,0.0,114.0,success,False,0,0.017002582550048828,0,0,0.0,114.0,success,False,0,True,,
machines,4,1,40001,8,4,2.0,0.011002063751220703,0,0,0.0,252.0,success,False,0,0.019004106521606445,0,0,0.0,252.0,success,False,0,True,,
machines,4,2,40002,8,4,2.0,0.3775651454925537,5740,5218,0.9090592334494774,135.0,success,False,19,0.1280200481414795,622,465,0.747588424437299,135.0,success,False,15,True,89.1637630662021,2.9492657671499476
machines,4,3,40003,8,4,2.0,0.007999181747436523,0,0,0.0,171.0,success,False,0,0.013003349304199219,0,0,0.0,171.0,success,False,0,True,,
machines,4,4,40004,8,4,2.0,0.010001659393310547,0,0,0.0,342.0,success,False,0,0.019005775451660156,0,0,0.0,342.0,success,False,0,True,,
machines,5,0,50000,8,5,2.0,0.009001016616821289,0,0,0.0,132.0,success,False,0,0.01699972152709961,0,0,0.0,132.0,success,False,0,True,,
machines,5,1,50001,8,5,2.0,0.009000778198242188,0,0,0.0,143.0,success,False,0,0.015001296997070312,0,0,0.0,143.0,success,False,0,True,,
